rating;rating_count;age;year;review_count;pages_count;price;name;author;link;text_reviews
4.2;74;16;2021;18;512 стр.;699.0;Изучаем Python: программирование игр, визуализация данных, веб-приложения;Эрик Мэтиз;https://www.litres.ru/book/erik-metiz/izuchaem-python-programmirovanie-igr-vizualizaciya-dannyh-veb-p-64070132/;['Осторожно, под видом второго издания продается первое. ', '', 'Совпадает все, кроме обложки и одной страницы, где издательство Питер добавило ссылку на листинги программ. Все остальное, включая количество страниц, полностью идентично.', 'Алексей Копылов, я купил российское «3-е издание», а в самой книге написано что это второе (на англ.).', 'Написал издателю, объяснили это так, что оригинал переиздали (типа исправленное издание), т.к. со временем нужны были правки. А «Питер» включив эти правки назвал это вторым изданием. То есть текущее третье издание – это уже актуальное на текущий день 2-ое издание оригинала. В общем то все в порядке я считаю и сейчас (в 2021) изучая Питон по третьему изданию нет каких то несостыковок с текущей версией языка (3.9)', 'Книга супер!', '1. Половина книги – это проекты, т.е. реальные вещи, которые можно сделать, получить результат, а не академические вырожденные задачи и упражнения.', '2. Все объяснения и все теория изобилует примерами, плавно подводящими к проектам.', '3. В описании нет сложной математики и прочих компьютерных наук, что делает изучение и без того не сложного Питона легким и приятным.', 'Если ищите с чего начать – это ваш выбор.', 'Книга очень хорошая. Но и устаревшая. Придется самостоятельно копаться в Интернете, чтобы исправить все ошибки, возникающие из-за того, что код устарел за эти несколько лет.', 'Шикарная книга. Мне безумно понравилась. Выбрала Python потому, что наслышана о его универсальности и популярности. ', 'А теперь полностью о книге:', '1) Главы логично построены, нет вопросов, вроде «Эмм, а что это?».', '2) Объяснения кода очень подробно расписаны, это жирнейший плюс.', '3) Автор пишет простым языком, и каждый, я уверена, сможет разобраться.', '4) Мне очень понравились проекты в книги(Оссобенно веб-приложения), а также упражнения, после каждой главы', 'Рекомендую!', 'Очень долго ждал, но наконец вышла электронная версия 3-го издания этой полезной книги. Один из лучших самоучителей востребованного языка программирования, в новой редакции программный код усовершенствован, адаптирован под последние версии языка Python. Спасибо!', 'janezer,  она бесплатная или как']
5.0;1;16;2021;1;224 стр.;659.0;Компьютерная графика. Рейтрейсинг и растеризация (pdf+epub);Гэбриел Гамбетта;https://www.litres.ru/book/gebriel-gambetta/komputernaya-grafika-reytreysing-i-rasterizaciya-pdf-epub-67321527/;['Небольшое, но отличное введение в два основных способа представления трехмерных сцен на двумерном экране. Понятный язык и всё по делу.']
4.0;12;16;2019;4;560 стр.;699.0;Python. Лучшие практики и инструменты;Тарек Зиаде;https://www.litres.ru/book/mihal-yavorski/python-luchshie-praktiki-i-instrumenty-65486627/;['Книга не для новичков, очень хороша для тех, кто уже владеет основами. Мне нравится учить Python и по книгам, и по разным ресурсам в интернете, эти способы дополняют друг друга. Хорошие книги дают систему и представление о том, какой набор знаний должен быть на этом уровне. Эта книга по-моему как раз из таких. ', '', 'Конечно, как всегда в таких случаях: если есть на английском, читайте на английском. Переводы конечно бывали и хуже, этот ещё вполне ничего, но местами всё равно из-за перевода становится менее понятно. Конечно, всегда можно пойти почитать документацию упомянутой библиотеки. ', '', 'В целом книга точно стоила тех денег, за которые я её купил.', 'Хотя авторы опираются на версию Python 3.7, тем не менее они дают в руки читателю современные инструменты и приёмы разработки, отладки и сопровождения программного обеспечения. Для меня, например, эта книга оказалась настоящим откровением.В ней описываются удивительные вещи и приёмы, о которых я совершенно не знал и не догадывался. Думаю, всё это будет очень полезно не только начинающим, но и программистам уровня middle.В общем, современное и полезное издание.', 'Книга хорошая! Затронуто много тем. И пусть исчерпывающей информации по каждой нет, но как руководитель книга не заменима.', 'Отличный учебник и справочник. Он будет полезен не только начинающим, но и продвинутым «питоноводам». Авторы дают читателям современные инструменты разработки, отладки и сопровождения программного обеспечения. В книге описываются удивительные методы и приёмы, о которых многие даже не догадываются. Непременно это будет очень полезно и начинающим, и опытным программистам уровня middle. Уникальное, современное и очень полезное издание. Рекомендую всем, кто программирует на Python.']
5.0;1;16;2022;1;512 стр.;699.0;Грокаем функциональное программирование;Михал Плахта;https://www.litres.ru/book/mihal-plahta/grokaem-funkcionalnoe-programmirovanie-69932608/;['Люблю когда в скучное на первый взгляд программирование добавляют немного юмора. Это не дает уснуть.) бодрит и веселит.,']
1.0;2;16;2021;1;256 стр.;699.0;Масштабируемый рефакторинг. Возвращаем контроль над кодом;Мод Лемер;https://www.litres.ru/book/mod-lemer/masshtabiruemyy-refaktoring-vozvraschaem-kontrol-nad-kodom-67749221/;['Неожиданно хороший перевод (для последних книг издательства) всего, кроме названия - книга не про масштабируемый (что это?), а про масштабный рефакторинг - когда рефакторингу подвергаются не функция или класс, а целые системы из нескольких подсистем.', 'Автор рассказывает не только о технических деталях - рефакторинг в масштабе большой компании требует тщательного планирования, согласования на верхнем уровне и набора команды, чему посвящены отдельные главы.', 'Жаль только технических примеров в последней части всего два - хотелось бы большего.']
4.5;2;16;2022;1;336 стр.;699.0;Рекурсивная книга о рекурсии (pdf+epub);Эл Свейгарт;https://www.litres.ru/book/el-sveygart/rekursivnaya-kniga-o-rekursii-pdf-epub-69434434/;['Сейчас углубился в тему функционального программирования и книга дополняет информацией по рекурсивным функциям. Информация в книге изложена в доступной форме и подойдёт для уже имеющих навыки в написании кода на JS и Python. Как мне показалось в книге примеров на Python больше чем на JS (выбор очевиден Python более дружелюбен). В целом книгу рекомендую тем кто хочет разобраться с рекурсией в теории - это больше учебник, а не инструкция к применению. Практические задания в книге есть, но в виде задач для закрепления пройденного материала.']
0.0;0;16;2022;1;464 стр.;699.0;Software. Ошибки и компромиссы при разработке ПО (pdf+epub);Джон Скит;https://www.litres.ru/book/dzhon-skit/software-oshibki-i-kompromissy-pri-razrabotke-po-pdf-epub-69280267/;['Не припомню других книг по архитектуре ПО, посвященных именно компромиссам и плюсам/минусам отдельных подходов. Те, кто считает, что разрабатываемый софт должен использовать все самые модные и современные технологии - найдут много полезного.\nНекоторые главы посвящены больше ошибкам, чем компромиссам (обработка времени и исключений).\nПеревод качественный, а на внутренней стороне обложки есть резюме по основным идеям книги со ссылками на конкретный раздел с подробностями.']
1.5;4;16;2022;3;369 стр.;699.0;Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте (pdf+epub);Мехди Меджуи;https://www.litres.ru/book/mayk-amundsen/nepreryvnoe-razvitie-api-pravilnye-resheniya-v-izmenchivom-t-64086797/;['Книга абсолютно ни о чем. Столько воды я не видел ни в одной книге. Странно, что такое серьёзное издательство взялось за её публикацию. Ничего нового об Api вы из неё не узнаете. ', 'Абсолютно бессмысленная трата денег. Цитата из книги:', '', ' Эта книга не руководство по разработке REST API или выбору шлюза безопасности. Если вы ищете пошаговую инструкцию по написанию кода для API или разработке HTTP API, здесь вы ее не найдете.', '', ' Хоть мы и приводим примеры, где говорится о конкретных способах, данная книга не о реализации API – в этом вам могут помочь другие книги, блоги и видео. Она затрагивает редко упоминаемую проблему: как эффективно управлять работой по созданию API в сложной, постоянно меняющейся организационной системе.', '', 'То есть понять как что-то сделать нельзя. Как написать реальную реализацию – тоже нельзя. А что можно? Послушать рассуждения про то что нужно делать хорошо, а плохо не делать. Авторы претендуют на изложение какой-то уникальной философии по созданию API, но тогда этому посвящена пара глав. Зачем тогда остальные?', 'Книга предназначена для молодых проджект-менеджеров впервые задумавшихся о проекте создания API. В ней попытались обобщить и рассмотреть методологии разработки данного продукта. Она не даёт ни рецептов, ни советов – подразумевается что читатель должен сам принимать решения по какому пути развития должен идти продукт опираясь на свой опыт и знания. В основном рассматриваются примеры супер-больших компаний по организации процессов. Да, интересно. Наверное можно что-то устроить и у себя по данным методологиям, но без опыта и профессиональной интуиции ничего не получится. Тогда для кого эта книга?']
4.9;269;12;2024;17;212 стр. 5 иллюстраций;690.0;Облачные технологии. Практическое руководство по созданию инновационных приложений;Джейд Картер;https://www.litres.ru/book/dzheyd-karter/oblachnye-tehnologii-prakticheskoe-rukovodstvo-po-sozdaniu-i-70273999/;['Автор не перестает радовать годными книгами. Отличный самоучитель по облачным технологиям. Много примеров и полезных советов', 'Книга очень подробно описывает основные моменты применения облачных технологий на практике. Мне пригодились некоторые коды, можно взять за основу, добавить свое и получить готовый продукт.', 'Побольше бы подобных книг, очень помогает при изучении. Хоть это и не художественное чтиво и требует особого усердия, но на примерах понимание приходит легче.', 'Очень много полезного материала в доступной понятной форме. Даже если что-то остается не ясным то есть понимание где получить ответ', 'Увидел новинку у автора, заинтересовался. Книги по нейросетям очень понравились, думаю и эта не разочарует. Автор пишет очень доступно']
4.6;9;12;2020;2;511 стр. 19 иллюстраций;689.0;Гибкие навыки. Исчерпывающее руководство по прокачке себя для начинающих разработчиков;Джон Сонмез;https://www.litres.ru/book/dzhon-sonmez/gibkie-navyki-ischerpyvauschee-rukovodstvo-po-prokachke-sebya-69792499/;"['Как-то в новогодние праздники зашёл в книжный магазин и заметил на полке эту книжку. Пока листал, задержался на главе с названием ""Перегорели? У меня есть лекарство!"" Почитал немножко, посмотрел на цену (больше 1000 рублей) и поставил обратно. По моим представлениям эта книга не должна стоить больше 600 рублей. Вот, например, аналогичную по содержанию книгу Чеда Фаулера ""Программист-фанатик"" можно купить менее чем за 500 рублей. По объёму, конечно, она более чем в два раза меньше - возможно дело в этом. Однако на деле ценность книги далеко не всегда пропорциональна её объёму. Если сравнивать эти две книги, то лично мне кажется, что в данном случае это действительно так. Однако, потом я заказал книгу в веб-магазине labirint.ru с хорошей персональной скидкой, которая образовалась благодаря предыдущим заказам в этом веб-магазине.', 'Конечно, поскольку обе книги написаны вроде бы на одну тему, в них есть похожие советы. По духу, однако, они расходятся довольно сильно. Книга Чеда Фаулера - это книга настоящего программиста, который больше любит писать код. Книга Джона Сонмеза - это книга ""успешного человека"", каким-то образом связанного со сферой ИТ. В глаза бросается то, что две из семи частей посвящены, внезапно, финансам и фитнесу.', 'Дело в том, что одна из жизненных целей, которую поставил перед собой автор, - это достижение финансовой независимости. Он задался целью ""выйти на пенсию"" как можно раньше. Под пенсией здесь подразумевается размеренная жизнь на пассивные доходы. В качестве средства автор выбрал инвестиции в недвижимость. Он покупал дома в ипотеку и сдавал их в аренду. На доходы от сдачи в аренду он покрывал взносы по ипотеке и рассчитывал на то, что в конечном итоге какие-то деньги ещё будут оставаться. Нельзя сказать, что автор стал богатым. Если посмотреть с этой точки зрения - у него есть много долгов, по которым он ещё не рассчитался. С другой стороны, в свои 33 года он получил вожделенную возможность не наниматься на работу, которая ему не нравится. В целом этот раздел я бы порекомендовал прочитать всем людям, пусть они даже не имеют отношения к информационным технологиям и не мечтают разбогатеть. На мой взгляд, автор говорит очевидные вещи, однако для людей, завязших в кредитах, этот раздел может оказаться откровением. Я лично из этой книги узнал, наконец, что такое опционы.', 'В разделе, посвящённом фитнесу, я нашёл одну деталь, которая могла бы сообщить читателю, почему Джон так зацепился за эту тему. Дело в том, что в какой-то момент своей жизни автор весил 131 килограмм при росте в 190 сантиметров. Автор поставил цель сбросить 41 килограмм, чтобы прийти в норму и добился этого. Вполне понимаю, что автор захотел поделиться своими знаниями. Кроме того, как сбросить вес, автор делится и другими секретами - как набрать мышечную массу и как стать обладателем живота с ""кубиками"" пресса.', 'Кроме этого, одна из частей посвящена самопродвижению. Здесь автор увлечённо рассказывает о том, как полезно постоянно быть на виду. Если регулярно вести блог, записывать подкасты и видеоролики, можно стать узнаваемой личностью. Тогда работа может сама найти тебя, а торговаться о зарплате станет проще - ведь работодатель хочет нанять не какого-то безымянного сотрудника, а довольно известную личность, у которой может быть не одно подобное предложение. Этот совет тоже оказался довольно действенным в его карьере. Однажды ему предложили стать автором онлайн-курсов. Авторские отчисления от написанных им курсов стали ещё одним источником пассивного дохода, который помог поменять баланс платежей по ипотеке и арендных платежей в пользу автора. Совет, надо сказать, дельный - проверено на собственном опыте. Правда, я скептически отношусь к совету автора быть постоянно на виду и генерировать по несколько материалов в неделю. Я сужу по своему опыту, но мне кажется что подготовить по-настоящему качественный материал - дело иногда не одной недели. Если же сыпать пустяками, можно отпугнуть всех потенциальных читателей. Встречался мне один блог, в котором были заметки на несколько строк, по несколько десятков заметок в месяц. Если бы я подписался на такой блог, он всплывал бы в подписках несколько раз в день, заглушая собой все остальные подписки. Поэтому подписываться на него я не стал.', 'Из советов, схожих с книгой Чеда Фаулера можно отметить советы найти себе наставника и быть наставником самому. Другие похожие советы - отправлять еженедельные отчёты на работе на почтовый ящик боссу, не бояться неудач, уметь отказывать, полюбить рутину, работать день с полной отдачей. Однако, мне показалось, что в книге Чеда секреты были преподнесены более наглядно, сжато и с различными байками из жизни. Кроме того, в книге Чеда Фаулера есть некоторые уникальные советы вроде чтения чужих мыслей.', 'Что ж, прочитать полезно обе книги, но книга ""Программист-фанатик"" показалась мне более насыщенной. Эта же оказалась более более широкой по охвату тем, но не достаточно глубокой.', 'Захватывающе, хотя я не программист. Я бизнес-тренер и учу как раз гибким навыкам - поэтому и обратила внимание на книгу.  Хотя я и ""в теме"" и по каждому навыку можно много найти разной информации, но в этой книге - ""всё включено"", в определенной логике изложения - что нужно конкретно программисту и для чего, и почему именно так - в доступной, легкой для восприятия форме. И рекомендую всем, кто выбирает свой путь - карьеры и развития, независимо от профессии - поймете, как выбрать направление и что делать, чтобы цели свои достигать.']"
